#sersic	abs_mag	color	mor
#mor	0:elliptical	1:spiral
1.054375000000000062e+00 -2.311370086669921875e+01 2.146120071411132812e+00 0.000000000000000000e+00
1.249374999999999902e+00 -2.337075042724609375e+01 3.201620101928710938e+00 0.000000000000000000e+00
1.883124999999999938e+00 -2.403516387939453125e+01 3.235340118408203125e+00 1.000000000000000000e+00
1.590624999999999956e+00 -2.408886146545410156e+01 3.149219512939453125e+00 0.000000000000000000e+00
9.568750000000000311e-01 -2.418232154846191406e+01 3.204322814941406250e+00 0.000000000000000000e+00
1.883124999999999938e+00 -2.355832862854003906e+01 2.837882995605468750e+00 1.000000000000000000e+00
1.005624999999999991e+00 -2.396507072448730469e+01 2.971153259277343750e+00 0.000000000000000000e+00
9.568750000000000311e-01 -2.307755470275878906e+01 2.548074722290039062e+00 0.000000000000000000e+00
1.298124999999999973e+00 -2.339165306091308594e+01 3.088827133178710938e+00 0.000000000000000000e+00
1.346875000000000044e+00 -2.370142936706542969e+01 3.218847274780273438e+00 0.000000000000000000e+00
1.346875000000000044e+00 -2.350749015808105469e+01 3.215167999267578125e+00 0.000000000000000000e+00
1.736874999999999947e+00 -2.383659172058105469e+01 3.286144256591796875e+00 1.000000000000000000e+00
1.590624999999999956e+00 -2.266567611694335938e+01 2.801769256591796875e+00 0.000000000000000000e+00
1.151874999999999982e+00 -2.293538475036621094e+01 3.180273056030273438e+00 0.000000000000000000e+00
1.541875000000000107e+00 -2.281226730346679688e+01 3.252153396606445312e+00 0.000000000000000000e+00
1.005624999999999991e+00 -2.426292610168457031e+01 1.740072250366210938e+00 0.000000000000000000e+00
3.686875000000000124e+00 -2.776747131347656250e+01 3.131740570068359375e+00 1.000000000000000000e+00
1.249374999999999902e+00 -2.738964271545410156e+01 2.944791793823242188e+00 0.000000000000000000e+00
2.614374999999999893e+00 -2.647609901428222656e+01 3.141653060913085938e+00 1.000000000000000000e+00
2.321874999999999911e+00 -2.572527313232421875e+01 3.200790405273437500e+00 1.000000000000000000e+00
1.980625000000000080e+00 -2.562351417541503906e+01 3.311292648315429688e+00 1.000000000000000000e+00
7.618749999999999689e-01 -2.575790214538574219e+01 2.985820770263671875e+00 0.000000000000000000e+00
3.979375000000000107e+00 -2.525540733337402344e+01 3.402946472167968750e+00 1.000000000000000000e+00
1.249374999999999902e+00 -2.499131011962890625e+01 2.869571685791015625e+00 0.000000000000000000e+00
1.151874999999999982e+00 -2.462560462951660156e+01 2.651180267333984375e+00 0.000000000000000000e+00
1.054375000000000062e+00 -2.453331565856933594e+01 2.886962890625000000e+00 0.000000000000000000e+00
1.444374999999999964e+00 -2.467764282226562500e+01 2.782575607299804688e+00 0.000000000000000000e+00
1.785625000000000018e+00 -2.401151084899902344e+01 2.606203079223632812e+00 1.000000000000000000e+00
1.639375000000000027e+00 -2.455810928344726562e+01 3.135143280029296875e+00 1.000000000000000000e+00
8.593750000000000000e-01 -2.429740333557128906e+01 2.788877487182617188e+00 0.000000000000000000e+00
1.541875000000000107e+00 -2.412370300292968750e+01 3.429325103759765625e+00 0.000000000000000000e+00
1.883124999999999938e+00 -2.396717834472656250e+01 3.177478790283203125e+00 1.000000000000000000e+00
1.395624999999999893e+00 -2.395681190490722656e+01 3.214918136596679688e+00 0.000000000000000000e+00
1.785625000000000018e+00 -2.362455368041992188e+01 3.090633392333984375e+00 1.000000000000000000e+00
1.395624999999999893e+00 -2.350191116333007812e+01 2.739803314208984375e+00 0.000000000000000000e+00
1.736874999999999947e+00 -2.313028907775878906e+01 2.714042663574218750e+00 1.000000000000000000e+00
1.298124999999999973e+00 -2.329128074645996094e+01 2.799785614013671875e+00 0.000000000000000000e+00
1.249374999999999902e+00 -2.277249908447265625e+01 3.022052764892578125e+00 0.000000000000000000e+00
1.054375000000000062e+00 -2.244551086425781250e+01 3.028924942016601562e+00 0.000000000000000000e+00
1.151874999999999982e+00 -2.282579612731933594e+01 3.185752868652343750e+00 0.000000000000000000e+00
1.200625000000000053e+00 -2.248327827453613281e+01 3.105823516845703125e+00 0.000000000000000000e+00
1.639375000000000027e+00 -2.795138168334960938e+01 3.186115264892578125e+00 1.000000000000000000e+00
1.346875000000000044e+00 -2.699443626403808594e+01 3.092134475708007812e+00 0.000000000000000000e+00
5.783125000000000071e+00 -2.613948631286621094e+01 3.111843109130859375e+00 1.000000000000000000e+00
1.200625000000000053e+00 -2.489502143859863281e+01 2.775714874267578125e+00 0.000000000000000000e+00
1.200625000000000053e+00 -2.547713661193847656e+01 2.764112472534179688e+00 0.000000000000000000e+00
1.736874999999999947e+00 -2.421251106262207031e+01 2.994962692260742188e+00 1.000000000000000000e+00
1.444374999999999964e+00 -2.487778282165527344e+01 3.232110977172851562e+00 0.000000000000000000e+00
1.054375000000000062e+00 -2.550812530517578125e+01 3.538452148437500000e+00 0.000000000000000000e+00
2.126875000000000071e+00 -2.522621536254882812e+01 3.153985977172851562e+00 1.000000000000000000e+00
1.931875000000000009e+00 -2.476535987854003906e+01 3.285703659057617188e+00 1.000000000000000000e+00
7.131250000000000089e-01 -2.533757591247558594e+01 2.672492980957031250e+00 0.000000000000000000e+00
