#
# Columns: x1 y1 u1 v1 x2 y2 u2 v2
#
# To plot the image plane curves, connect each (x1,y1)
# to the (x2,y2) on the same line -- do *not* connect
# consecutive lines!
#
# To plot the source plane curves, do the same for
# (u1,v1) and (u2,v2).
#
  1.717213456597e+00 -1.767175029594e+00  1.500404735391e+00 -1.103062862091e+00   1.741679791263e+00 -1.776719915483e+00  1.514472168856e+00 -1.120829428147e+00
  1.741679791263e+00 -1.776719915483e+00  1.514472168856e+00 -1.120829428147e+00   1.746798655211e+00 -1.778679313906e+00  1.517432030632e+00 -1.124518499483e+00
  1.746798655211e+00 -1.778679313906e+00  1.517432030632e+00 -1.124518499483e+00   1.767549591564e+00 -1.786485159887e+00  1.529485372385e+00 -1.139371845902e+00
  1.767549591564e+00 -1.786485159887e+00  1.529485372385e+00 -1.139371845902e+00   1.776771422501e+00 -1.789881941408e+00  1.534868443740e+00 -1.145919754462e+00
  1.776771422501e+00 -1.789881941408e+00  1.534868443740e+00 -1.145919754462e+00   1.793782670768e+00 -1.796027911209e+00  1.544837760475e+00 -1.157911295689e+00
  1.793782670768e+00 -1.796027911209e+00  1.544837760475e+00 -1.157911295689e+00   1.807170753318e+00 -1.800752561191e+00  1.552716893950e+00 -1.167267938797e+00
  1.807170753318e+00 -1.800752561191e+00  1.552716893950e+00 -1.167267938797e+00   1.820397293220e+00 -1.805320189279e+00  1.560527045908e+00 -1.176440453696e+00
  1.820397293220e+00 -1.805320189279e+00  1.560527045908e+00 -1.176440453696e+00   1.838043731959e+00 -1.811254526074e+00  1.570983366496e+00 -1.188565764549e+00
  1.838043731959e+00 -1.811254526074e+00  1.570983366496e+00 -1.188565764549e+00   1.847416043482e+00 -1.814329943320e+00  1.576551971806e+00 -1.194952534271e+00
  1.847416043482e+00 -1.814329943320e+00  1.576551971806e+00 -1.194952534271e+00   1.869448106347e+00 -1.821342889046e+00  1.589677635714e+00 -1.209817675758e+00
  1.869448106347e+00 -1.821342889046e+00  1.589677635714e+00 -1.209817675758e+00   1.874866900398e+00 -1.823019794756e+00  1.592912473638e+00 -1.213441243934e+00
  1.874866900398e+00 -1.823019794756e+00  1.592912473638e+00 -1.213441243934e+00   1.901456025072e+00 -1.830961494605e+00  1.608814321083e+00 -1.231030370053e+00
  1.901456025072e+00 -1.830961494605e+00  1.608814321083e+00 -1.231030370053e+00   1.902784598200e+00 -1.831345484685e+00  1.609609920758e+00 -1.231900777051e+00
  1.902784598200e+00 -1.831345484685e+00  1.609609920758e+00 -1.231900777051e+00   1.911712019631e+00 -1.833892846181e+00  1.614957798799e+00 -1.237728119164e+00
  1.911712019631e+00 -1.833892846181e+00  1.614957798799e+00 -1.237728119164e+00   1.931113042280e+00 -1.839226841908e+00  1.626587660520e+00 -1.250261889368e+00
  1.931113042280e+00 -1.839226841908e+00  1.626587660520e+00 -1.250261889368e+00   1.934159674800e+00 -1.840038590987e+00  1.628414477708e+00 -1.252213630324e+00
  1.934159674800e+00 -1.840038590987e+00  1.628414477708e+00 -1.252213630324e+00   1.959960086107e+00 -1.846617808494e+00  1.643882663076e+00 -1.268557140658e+00
  1.959960086107e+00 -1.846617808494e+00  1.643882663076e+00 -1.268557140658e+00   1.967680067371e+00 -1.848479990900e+00  1.648508079502e+00 -1.273381682282e+00
  1.967680067371e+00 -1.848479990900e+00  1.648508079502e+00 -1.273381682282e+00   1.989441024689e+00 -1.853449208274e+00  1.661529973534e+00 -1.286811831397e+00
