#    SUBHALO_ID	   Rein_y(arcsec)
      307056	     0.183412
      307938	     0.172744
      308384	     0.105536
      308451	     0.464509
      308796	     0.452310
      309477	     0.228185
      310221	     0.248808
      313837	     0.169666
      313945	     0.303526
      314605	     0.253627
      315138	     0.163946
      315245	     0.147684
      315848	     0.188157
      316424	     0.200972
      317115	     0.165472
      317840	     0.255563
      319328	     0.140664
      319646	     0.227334
      325540	     0.239883
      326712	     0.332198
      327680	     0.104237
      327886	     0.149058
      329200	     0.172909
      329843	     0.212351
      333752	     0.176128
      334575	     0.144573
      334694	     0.180143
       31645	      2.21301
      342091	     0.366563
      342773	     0.198434
      342859	     0.135921
      343531	     0.164431
      344013	     0.246418
      345730	     0.106333
      346378	     0.278044
      348549	     0.150759
      352324	     0.369537
      352893	     0.114813
      359299	     0.132338
      362043	     0.149123
           0	      2.75690
       46224	     0.852199
       58317	      1.07539
       65983	      1.04072
       73406	      1.18029
       85591	      1.10356
       86665	      1.48926
       88719	      1.66262
       95703	      1.70162
       98555	      1.27041
       99583	     0.863033
      114445	     0.241135
      115238	      1.28774
      117164	     0.954043
      119032	      1.22513
      119843	     0.670180
      122195	      1.33794
      124007	      1.47626
      125198	     0.598672
      128704	      1.33629
      129271	     0.506070
      132292	      1.25741
      133539	      1.12739
      134019	      1.44376
      134579	      1.05771
      136005	     0.256303
      138191	      1.43029
      138632	     0.814068
      140304	      1.39609
      140651	     0.568336
      141747	      1.02555
      143860	     0.730853
      144495	     0.761009
      146044	     0.727981
      146545	     0.723551
      147093	      1.44376
      150209	     0.507663
      155425	     0.215215
      155872	     0.850205
      156809	     0.979287
      157169	      1.07249
      158394	     0.433311
      158753	      1.04447
      159928	     0.711351
      161253	     0.925873
      161624	     0.791526
      163277	     0.910705
      164052	     0.831483
      164417	      1.07926
      165021	     0.782858
      165345	      1.23357
      167043	     0.891316
      168491	     0.996645
      170004	     0.791454
      171613	      1.04288
      171936	     0.878201
      172163	     0.548834
      172758	      1.08407
      173033	     0.609664
      173853	      1.47918
      175082	     0.930207
      175443	     0.623245
      176903	     0.952508
      177518	      1.08810
      177811	     0.482586
      178139	     0.313765
      178530	     0.635510
      178782	     0.262804
      179102	      1.02807
      179595	     0.843531
      180919	     0.384358
      181237	     0.733020
      181438	     0.386189
      182551	     0.984379
      182747	     0.835133
