#    SUBHALO_ID	   Rein_z(arcsec)
      252748	     0.353210
      252884	     0.484481
      253181	     0.507101
      253503	     0.429291
      253581	     0.482410
      253944	     0.758056
      254031	     0.148757
      254152	     0.671738
      254314	     0.374595
      254476	     0.556060
      254903	     0.457960
      255648	     0.443038
      255781	     0.568724
      256176	     0.237992
      256444	     0.124822
      256774	     0.495048
      256986	     0.366815
      257184	     0.374358
      257403	     0.573094
      257595	     0.360908
      257713	     0.108955
      258765	     0.422250
      258881	     0.523692
      259133	     0.411297
      259208	     0.684362
      259355	     0.176355
      259479	     0.256858
      259933	     0.202095
      260092	     0.464332
      260412	     0.440168
      260441	     0.743666
      261166	     0.422552
      261363	     0.238968
      261461	     0.403784
      261742	     0.345067
      261803	     0.162042
      262047	     0.406884
      262590	     0.426986
      263168	     0.132791
      263211	     0.630432
      263313	     0.452195
      263374	     0.379478
      263471	     0.315932
      263539	     0.173962
      263786	     0.415011
      264184	     0.104396
      264354	     0.106788
      264603	     0.686153
      264656	     0.128259
      265601	     0.219100
      265730	     0.395482
      265866	     0.305776
      265981	     0.428897
      266133	     0.104299
      266199	     0.618533
      266283	     0.269920
      266488	     0.562590
      266684	     0.321384
      266938	     0.575467
      267371	     0.138066
      267576	     0.279265
      267722	     0.425603
      268012	     0.468135
      269350	     0.498197
      269673	     0.308918
      269779	     0.683279
      269816	     0.225970
      269888	     0.455554
      270166	     0.132267
      270445	     0.532695
      270982	     0.466286
      272108	     0.165137
      272980	     0.496401
      273260	     0.472930
      273459	     0.395051
      273764	     0.281707
      273925	     0.126739
      274024	     0.617594
      274163	     0.222438
      274614	     0.625160
      274701	     0.524847
      275016	     0.374181
      275123	     0.228356
      275372	     0.206620
      275537	     0.669601
      275833	     0.520177
      276030	     0.295937
      276418	     0.206615
      276551	     0.332225
      277064	     0.364372
      277247	     0.215133
      277420	     0.273264
      277836	     0.613034
      278907	     0.512312
      279828	     0.345272
      279889	     0.537563
      280123	     0.194856
      280406	     0.251865
      280450	     0.149109
      280675	     0.312656
      281000	     0.122334
      281040	     0.132791
      282049	     0.106527
      282185	     0.481532
      282235	     0.526956
      282414	     0.274074
      282562	     0.579797
      282696	     0.542829
      282947	     0.508979
      283028	     0.525592
      283120	     0.305572
      283300	     0.333478
      283508	     0.338724
      283547	     0.506659
      283784	     0.456819
      284277	     0.139030
      285073	     0.286640
      285101	     0.284895
      285900	     0.269309
      286381	     0.115068
      286824	     0.349835
      286994	     0.261036
      287140	     0.159598
      287505	     0.160783
      287881	     0.508248
      287947	     0.123823
      288451	     0.392906
      288569	     0.202592
      289361	     0.379846
      289995	     0.362445
      290509	     0.264300
      291964	     0.339178
      292075	     0.330107
      292354	     0.241268
      292514	     0.381442
      292855	     0.415357
      293357	     0.211246
      293752	     0.147959
      293791	     0.134596
      294303	     0.289002
      295149	     0.338062
      295455	     0.173586
      295851	     0.275929
      295946	     0.145265
      296044	     0.366468
      296268	     0.199510
      296499	     0.279390
      296924	     0.518036
      297235	     0.160960
      297537	     0.159838
      299089	     0.152208
      300789	     0.294809
      300998	     0.445160
      301196	     0.348228
      301627	     0.110716
      302273	     0.198063
      302744	     0.114438
      303113	     0.117434
      303313	     0.273528
      303407	     0.109761
      303915	     0.105632
      304360	     0.376860
      304387	     0.412826
      304512	     0.331469
      304899	     0.158116
      305396	     0.190135
      305515	     0.333384
      308409	     0.177410
      308451	     0.328397
      308796	     0.438019
      310058	     0.105214
      313035	     0.194684
      313837	     0.216636
      313945	     0.366398
      314605	     0.154042
      315138	     0.147837
      316424	     0.163469
      317840	     0.269705
      320486	     0.122912
      320740	     0.108503
      324219	     0.194082
      324640	     0.158207
      325540	     0.335523
      326712	     0.353290
      328489	     0.137249
      329200	     0.193284
      333418	     0.130890
      334147	     0.116383
      334939	     0.218503
       31645	      2.26501
      338300	     0.155024
      338474	     0.291721
      340404	     0.191881
      341211	     0.141170
      342091	     0.381473
      344013	     0.105806
      344240	     0.103983
      346378	     0.239064
      347645	     0.165592
      348549	     0.248087
      349577	     0.136981
      352324	     0.327213
      352893	     0.179247
      353010	     0.126779
      361274	     0.130980
           0	      3.80134
       46224	     0.863033
       58317	      1.24007
       65983	     0.886869
       68929	      1.59260
       82074	      1.48493
       88719	      1.72112
       89752	      1.58028
       99583	      1.02122
      114445	     0.325644
      117164	      1.11656
      119032	      1.02734
      119843	     0.778525
      122195	      1.33686
      124007	      1.42426
      125198	     0.650678
      126568	     0.793449
      128704	      1.16881
      129271	     0.487689
      131712	     0.715685
      132292	      1.09489
      133539	      1.14690
      134019	      1.37659
      136005	     0.594339
      136563	      1.13823
      138191	      1.49208
      140304	      1.68862
      140651	     0.678847
      141747	      1.09923
      143860	     0.733020
      144495	     0.922293
      146545	     0.686451
      147093	      1.53477
      150209	     0.542333
      151934	     0.481660
      153006	     0.776791
      155425	     0.378894
      155872	     0.827116
      156389	     0.726519
      156809	     0.966738
      157169	     0.884471
      158753	      1.07396
      159928	     0.975712
      161253	      1.07756
      161624	     0.789359
      163277	     0.798027
      164417	      1.00712
      164742	      1.08622
      165021	     0.808861
      165345	      1.13390
      166687	      1.15340
      167043	     0.915907
      168188	     0.872682
      168491	     0.738179
      169111	     0.453491
      170004	     0.819965
      170620	     0.510114
      171613	     0.730853
      171936	      1.07322
      172758	      1.07928
