#
# Columns: x1 y1 u1 v1 x2 y2 u2 v2
#
# To plot the image plane curves, connect each (x1,y1)
# to the (x2,y2) on the same line -- do *not* connect
# consecutive lines!
#
# To plot the source plane curves, do the same for
# (u1,v1) and (u2,v2).
#
 -1.947581656599e+00 -1.541830150078e+00 -8.586561857928e-01 -1.335532611089e+00  -1.948822943310e+00 -1.473718991668e+00 -8.502542167791e-01 -1.334350274396e+00
 -1.948822943310e+00 -1.473718991668e+00 -8.502542167791e-01 -1.334350274396e+00  -1.945203905116e+00 -1.420703713784e+00 -8.411441279972e-01 -1.333417599125e+00
 -1.945203905116e+00 -1.420703713784e+00 -8.411441279972e-01 -1.333417599125e+00  -1.937569196507e+00 -1.367153882144e+00 -8.297331699622e-01 -1.332640410230e+00
 -1.937569196507e+00 -1.367153882144e+00 -8.297331699622e-01 -1.332640410230e+00  -1.922839799873e+00 -1.301595247916e+00 -8.128302140497e-01 -1.332144433194e+00
 -1.922839799873e+00 -1.301595247916e+00 -8.128302140497e-01 -1.332144433194e+00  -1.919208447051e+00 -1.288567597939e+00 -8.090950868311e-01 -1.332128592893e+00
 -1.919208447051e+00 -1.288567597939e+00 -8.090950868311e-01 -1.332128592893e+00  -1.913910720304e+00 -1.270903461273e+00 -8.038344855542e-01 -1.332159846166e+00
 -1.913910720304e+00 -1.270903461273e+00 -8.038344855542e-01 -1.332159846166e+00  -1.897887389902e+00 -1.224382069508e+00 -7.889124647832e-01 -1.332572672468e+00
 -1.897887389902e+00 -1.224382069508e+00 -7.889124647832e-01 -1.332572672468e+00  -1.882412851253e+00 -1.186068474608e+00 -7.754798449311e-01 -1.333331547949e+00
 -1.882412851253e+00 -1.186068474608e+00 -7.754798449311e-01 -1.333331547949e+00  -1.868956532066e+00 -1.156323077773e+00 -7.643519991944e-01 -1.334224001726e+00
 -1.868956532066e+00 -1.156323077773e+00 -7.643519991944e-01 -1.334224001726e+00  -1.827408999242e+00 -1.078167168392e+00 -7.322712999787e-01 -1.338070692158e+00
 -1.827408999242e+00 -1.078167168392e+00 -7.322712999787e-01 -1.338070692158e+00  -1.826957237018e+00 -1.077402951882e+00 -7.319376794743e-01 -1.338120379139e+00
 -1.826957237018e+00 -1.077402951882e+00 -7.319376794743e-01 -1.338120379139e+00  -1.825933884362e+00 -1.075677457137e+00 -7.311829947051e-01 -1.338233501764e+00
 -1.825933884362e+00 -1.075677457137e+00 -7.311829947051e-01 -1.338233501764e+00  -1.786240650624e+00 -1.013962817341e+00 -7.029340687344e-01 -1.343187220692e+00
 -1.786240650624e+00 -1.013962817341e+00 -7.029340687344e-01 -1.343187220692e+00  -1.762213493891e+00 -9.806410511307e-01 -6.866878439622e-01 -1.346668906860e+00
 -1.762213493891e+00 -9.806410511307e-01 -6.866878439622e-01 -1.346668906860e+00  -1.746281080402e+00 -9.598860604781e-01 -6.762273719933e-01 -1.349156339860e+00
 -1.746281080402e+00 -9.598860604781e-01 -6.762273719933e-01 -1.349156339860e+00  -1.727404970444e+00 -9.364995335236e-01 -6.641345854198e-01 -1.352274154513e+00
 -1.727404970444e+00 -9.364995335236e-01 -6.641345854198e-01 -1.352274154513e+00  -1.707634758806e+00 -9.132514911215e-01 -6.518001817769e-01 -1.355725406362e+00
 -1.707634758806e+00 -9.132514911215e-01 -6.518001817769e-01 -1.355725406362e+00  -1.689199078517e+00 -8.926012582679e-01 -6.405898983809e-01 -1.359103789952e+00
 -1.689199078517e+00 -8.926012582679e-01 -6.405898983809e-01 -1.359103789952e+00  -1.669910506830e+00 -8.719552692940e-01 -6.291508563302e-01 -1.362793316974e+00
 -1.669910506830e+00 -8.719552692940e-01 -6.291508563302e-01 -1.362793316974e+00  -1.652800333670e+00 -8.543918953553e-01 -6.192444544634e-01 -1.366190735277e+00
 -1.652800333670e+00 -8.543918953553e-01 -6.192444544634e-01 -1.366190735277e+00  -1.632978522203e+00 -8.348557934990e-01 -6.080439715302e-01 -1.370264037511e+00
 -1.632978522203e+00 -8.348557934990e-01 -6.080439715302e-01 -1.370264037511e+00  -1.609855792210e+00 -8.130773399034e-01 -5.953444560034e-01 -1.375189820586e+00
 -1.609855792210e+00 -8.130773399034e-01 -5.953444560034e-01 -1.375189820586e+00  -1.587125911550e+00 -7.926430959475e-01 -5.832378427135e-01 -1.380201252212e+00
 -1.587125911550e+00 -7.926430959475e-01 -5.832378427135e-01 -1.380201252212e+00  -1.527341258033e+00 -7.429729977546e-01 -5.531435338771e-01 -1.394086295480e+00
 -1.527341258033e+00 -7.429729977546e-01 -5.531435338771e-01 -1.394086295480e+00  -1.526439011722e+00 -7.422647020775e-01 -5.527085600592e-01 -1.394302822533e+00
 -1.526439011722e+00 -7.422647020775e-01 -5.527085600592e-01 -1.394302822533e+00  -1.524021727840e+00 -7.403727011387e-01 -5.515459893405e-01 -1.394883866653e+00
 -1.524021727840e+00 -7.403727011387e-01 -5.515459893405e-01 -1.394883866653e+00  -1.469082576485e+00 -6.994790026967e-01 -5.262201556716e-01 -1.408422046950e+00
 -1.469082576485e+00 -6.994790026967e-01 -5.262201556716e-01 -1.408422046950e+00  -1.444505730232e+00 -6.823984345266e-01 -5.155703715553e-01 -1.414655195660e+00
 -1.444505730232e+00 -6.823984345266e-01 -5.155703715553e-01 -1.414655195660e+00  -1.416545007250e+00 -6.637963812395e-01 -5.039664717801e-01 -1.421849980874e+00
