#
# Columns: x1 y1 u1 v1 x2 y2 u2 v2
#
# To plot the image plane curves, connect each (x1,y1)
# to the (x2,y2) on the same line -- do *not* connect
# consecutive lines!
#
# To plot the source plane curves, do the same for
# (u1,v1) and (u2,v2).
#
 -3.438162230276e-01 -3.354083067999e-01 -1.185621898093e-01 -2.240327986349e-01  -3.443384778791e-01 -3.334594541688e-01 -1.179895458168e-01 -2.236436438277e-01
 -3.443384778791e-01 -3.334594541688e-01 -1.179895458168e-01 -2.236436438277e-01  -3.463116866657e-01 -3.257756891221e-01 -1.157744382037e-01 -2.222059138039e-01
 -3.463116866657e-01 -3.257756891221e-01 -1.157744382037e-01 -2.222059138039e-01  -3.478950582045e-01 -3.191837286120e-01 -1.139330322803e-01 -2.210925624564e-01
 -3.478950582045e-01 -3.191837286120e-01 -1.139330322803e-01 -2.210925624564e-01  -3.491051703046e-01 -3.138357791555e-01 -1.124830040124e-01 -2.202683994631e-01
 -3.491051703046e-01 -3.138357791555e-01 -1.124830040124e-01 -2.202683994631e-01  -3.515702370080e-01 -3.018714944517e-01 -1.093965550749e-01 -2.186705659947e-01
 -3.515702370080e-01 -3.018714944517e-01 -1.093965550749e-01 -2.186705659947e-01  -3.526396933363e-01 -2.960980797995e-01 -1.079921787938e-01 -2.180155758022e-01
 -3.526396933363e-01 -2.960980797995e-01 -1.079921787938e-01 -2.180155758022e-01  -3.544220154346e-01 -2.853469644720e-01 -1.055391710363e-01 -2.169839900525e-01
 -3.544220154346e-01 -2.853469644720e-01 -1.055391710363e-01 -2.169839900525e-01  -3.551022785369e-01 -2.807389192024e-01 -1.045565476750e-01 -2.166124999268e-01
 -3.551022785369e-01 -2.807389192024e-01 -1.045565476750e-01 -2.166124999268e-01  -3.565749584729e-01 -2.692804518492e-01 -1.023048389977e-01 -2.158571644157e-01
 -3.565749584729e-01 -2.692804518492e-01 -1.023048389977e-01 -2.158571644157e-01  -3.566792046595e-01 -2.683640122110e-01 -1.021370290721e-01 -2.158064898187e-01
 -3.566792046595e-01 -2.683640122110e-01 -1.021370290721e-01 -2.158064898187e-01  -3.569724124600e-01 -2.656848207247e-01 -1.016571973652e-01 -2.156661105753e-01
 -3.569724124600e-01 -2.656848207247e-01 -1.016571973652e-01 -2.156661105753e-01  -3.578416484461e-01 -2.565577566228e-01 -1.001459080240e-01 -2.152698304354e-01
 -3.578416484461e-01 -2.565577566228e-01 -1.001459080240e-01 -2.152698304354e-01  -3.580975063923e-01 -2.533739670355e-01 -9.966476682087e-02 -2.151592177657e-01
 -3.580975063923e-01 -2.533739670355e-01 -9.966476682087e-02 -2.151592177657e-01  -3.586028944836e-01 -2.458727382357e-01 -9.862823585218e-02 -2.149489792853e-01
 -3.586028944836e-01 -2.458727382357e-01 -9.862823585218e-02 -2.149489792853e-01  -3.589940891266e-01 -2.377728395931e-01 -9.766585419247e-02 -2.147918941002e-01
 -3.589940891266e-01 -2.377728395931e-01 -9.766585419247e-02 -2.147918941002e-01  -3.592302086345e-01 -2.293025233054e-01 -9.683838886837e-02 -2.146913692389e-01
 -3.592302086345e-01 -2.293025233054e-01 -9.683838886837e-02 -2.146913692389e-01  -3.592907779726e-01 -2.226109893294e-01 -9.631668846308e-02 -2.146480126435e-01
 -3.592907779726e-01 -2.226109893294e-01 -9.631668846308e-02 -2.146480126435e-01  -3.590707986465e-01 -2.090900971266e-01 -9.562443344995e-02 -2.146233466326e-01
